id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Neon Skyline,Aria Vale,hip hop,confident,0.88,96,0.72,0.84,0.12
12,Golden Meadow,Willow Creek,folk,nostalgic,0.54,98,0.67,0.57,0.81
13,Winter Harbor,The Quiet Tide,classical,peaceful,0.21,70,0.73,0.26,0.95
14,Backroad Lights,Cedar Row,country,hopeful,0.68,112,0.79,0.72,0.48
15,Velvet Static,Nyra Lane,house,energetic,0.86,126,0.74,0.90,0.08
16,Afterglow Bay,Marin & Co,r&b,romantic,0.61,88,0.78,0.74,0.39
17,Iron Harbor,Stonecrest,metal,angry,0.95,160,0.23,0.55,0.04
18,Sunline Drift,Maple Echo,reggae,laid back,0.57,92,0.76,0.69,0.41
